#狂った民族２ PRAVARGYAZOOQA	#미친 민족２ PRAVARGYAZOOQA
1000年生きてる	1000년 살고 있어
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2	G선상의 아리아
系ぎて	츠나기테	이음매	이어져서
約束	약속
紅に染まる恋の花	붉게 물드는 사랑의 꽃
紅星ミゼラブル～廃憶編
終わりなき物語
終点	종점
終焉逃避行	종언도피행
結ンデ開イテ羅刹ト骸	쥐었다가 펼쳐서 나찰과 송장
絡めトリック利己ライザー	얽힌 트릭 이기 라이저
絡繰りドール	꼭두각시 돌
絶え間なく藍色	끊임없는 남빛
絶対にチョコミントを食べるアオイチャン	반드시 민트초코를 먹는 아오이짱
絶対敵対メチャキライヤー	절대 적대 완전 싫어
緋色のDance	진홍색의 Dance
美しく燃える森
美夜月鏡	미야월경
群青シグナル
群青讃歌	군청찬가
胡蝶乃舞	호접내무	나비의 춤
脳天直撃
脳漿炸裂ガール	뇌장작렬 걸
腐れ外道とチョコレゐト	썩은 외도와 초콜릿
自傷無色	자상무색
色は匂へど散りぬるを	향기로운 꽃도 언젠간 지는 법
花と、雪と、ドラムンベース。	꽃과 눈과 드럼 앤 베이스
花となれ	꽃이 되어라
若い力	젊은 힘
若い力 -SEGA HARD GIRLS MIX-	젊은 힘 -SEGA HARD GIRLS MIX-
華の集落、秋のお届け	꽃의 마을, 가을의 전달
華天月兎	화천월토
華鳥風月	화조풍월
蒼穹舞楽	창궁무악
蒼空に舞え、墨染の桜
虹と太陽	무지개와 태양
蜘蛛の糸
表裏一体	표리일체
裏表ラバーズ	겉과 속의 러버즈
解けないように	풀리지 않도록
言ノ葉カルマ	언어 카르마
言ノ葉遊戯	언어유희
記憶、記録	기억, 기록
赤心性：カマトト荒療治	적심성: 새침데기 치료
超常マイマイン
超最終鬼畜妹フランドール・S
超熊猫的周遊記（ワンダーパンダートラベラー）	초웅묘적주유기	원더 팬더 트래블러
超絶！Superlative	초절! Superlative
踊	춤
踊れオーケストラ	춤춰라 오케스트라
躯樹の墓守	썩은 나무의 묘지기
転生林檎	전생사과
迷える音色は恋の唄	망설이는 음색은 사랑의 노래
進め！イッスン軍団 -Rebellion of the Dwarfs-	전진하라! 소인 군단 -Rebellion of the Dwarfs-
進捗どうですか？	진척 어떠세요?
過去を喰らう	과거를 먹다
遺伝子レベル∞スパイラル	유전자 레벨∞스파이럴
酔いどれ知らず	취한 줄을 모르고
采配の刻 Power of order	지휘의 시간 Power of order
金の聖夜霜雪に朽ちて	금빛의 성야는 서리와 눈에 스러지고
銀のめぐり
閃鋼のブリューナク	섬강의 브류나크
阿修羅ちゃん	아수라 쨩	아수라 짱
阿吽のビーツ	아훔의 비트
隠密あんみつDX	은밀한 안미츠 DX
隠然
雨とペトラ	비와 페트라
雨露霜雪	우로상설
雲外蒼電 -Dreaming Voltage-	운외창전 -Dreaming Voltage-
零號車輛	영호차량
雷切-RAIKIRI-
電光刹歌	전광찰가
電光石火	전광석화
電話革命ナイセン
電車で電車でGO!GO!GO!GC! -GMT remix-
電車で電車でOPA!OPA!OPA! -GMT mashup-
青春コンプレックス	청춘 콤플렉스
響け！CHIREI MY WAY!
響縁	향연
頓珍漢の宴	얼뜨기의 연회
願いを呼ぶ季節
骸骨楽団とリリア	해골악단과 리리아
高気圧ねこロック	고기압 고양이 락
鬼女紅妖	귀녀홍요
魂のルフラン	혼의 루프란
魔ジョ狩リ	마녀사냥
魔法少女とチョコレゐト	마법소녀와 초콜릿
魔法少女になるしかねぇ
魔理沙は大変なものを盗んでいきました	마리사는 엄청난 것을 훔쳐갔습니다
麒麟	기린
鼓動	고동
＊ハロー、プラネット。	*헬로, 플래닛.
